"Error: This error will block the book from publishing. The error needs to be fixed in order to publish."
"Notice: This issue will not block the book from publishing and can be safely ignored as there will be no impact."
"Type","Description","Source File","Line Number","Text Preceding Warning or Error","Recommended Fix"
"Notice","W14224: Invalid datauri found:   C:\Users\apart\AppData\Local\Temp\6e5896f3-f838-489d-a3e5-4e7f469b5459\cTemp\mTemp\mbp_7EA_6_12_2_3_1A_8C_3058_95E0_1\EPUB\styles\book.css","","","",""
"Notice","W14010: media file not found  C:\Users\apart\AppData\Local\Temp\6e5896f3-f838-489d-a3e5-4e7f469b5459\cTemp\mTemp\mbp_7EA_6_12_2_3_1A_8C_3058_95E0_1\EPUB\styles\data:image\svg xml,<svg xmlns='http:\www.w3.org\2000\svg' viewBox='0 0 24 24' fill='none' stroke='#37474f' stroke-width='2' stroke-linecap='round' stroke-linejoin='round","","","",""
"Notice","W14012: media file format not supported  C:\Users\apart\AppData\Local\Temp\6e5896f3-f838-489d-a3e5-4e7f469b5459\cTemp\mTemp\mbp_7EA_6_12_2_3_1A_8C_3058_95E0_1\EPUB\styles\data:image\svg xml,<svg xmlns='http:\www.w3.org\2000\svg' viewBox='0 0 24 24' fill='none' stroke='#37474f' stroke-width='2' stroke-linecap='round' stroke-linejoin='round","","","",""
"Notice","W14010: media file not found  C:\Users\apart\AppData\Local\Temp\6e5896f3-f838-489d-a3e5-4e7f469b5459\cTemp\mTemp\mbp_7EA_6_12_2_3_1A_8C_3058_95E0_1\EPUB\styles\data:image\svg xml,<svg xmlns='http:\www.w3.org\2000\svg' viewBox='0 0 24 24' fill='none' stroke='#607d8b' stroke-width='2' stroke-linecap='round' stroke-linejoin='round","","","",""
"Notice","W14010: media file not found  C:\Users\apart\AppData\Local\Temp\6e5896f3-f838-489d-a3e5-4e7f469b5459\cTemp\mTemp\mbp_7EA_6_12_2_3_1A_8C_3058_95E0_1\EPUB\styles\data:image\svg xml,<svg xmlns='http:\www.w3.org\2000\svg' viewBox='0 0 24 24' fill='none' stroke='#117a65' stroke-width='2.5' stroke-linecap='round' stroke-linejoin='rou","","","",""
"Notice","W14010: media file not found  C:\Users\apart\AppData\Local\Temp\6e5896f3-f838-489d-a3e5-4e7f469b5459\cTemp\mTemp\mbp_7EA_6_12_2_3_1A_8C_3058_95E0_1\EPUB\styles\data:image\svg xml,<svg xmlns='http:\www.w3.org\2000\svg' viewBox='0 0 24 24' fill='none' stroke='#7b5e1a' stroke-width='2.5' stroke-linecap='round' stroke-linejoin='rou","","","",""
"Notice","W14010: media file not found  C:\Users\apart\AppData\Local\Temp\6e5896f3-f838-489d-a3e5-4e7f469b5459\cTemp\mTemp\mbp_7EA_6_12_2_3_1A_8C_3058_95E0_1\EPUB\styles\data:image\svg xml,<svg xmlns='http:\www.w3.org\2000\svg' viewBox='0 0 24 24' fill='none' stroke='#455a64' stroke-width='2' stroke-linecap='round' stroke-linejoin='round","","","",""
